project,action,seine_id,date,work_area,survey,site_id,hakai_id,semsp_id,jsp_survey_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,analysis_planned,dissection_status,lice_collection_protocol,lice_id_protocol,analyzing_lab,quality_level,comments,quality_log
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15645,NA,DE372,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15646,NA,DE372,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15647,NA,DE372,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15648,NA,DE372,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15649,NA,DE372,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15650,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15651,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15652,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15653,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15654,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15655,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15656,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15657,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15658,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE372N2,2017-06-12,QUADRA,DI_C,D09,U15659,NA,DE372,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15660,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15661,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15662,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15663,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15664,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15665,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15666,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
