year,genus,species_id,species,weight
1977,Dipodomys,DS,spectabilis,149
1978,Neotoma,NL,albigula,232
1979,Neotoma,NL,albigula,274
1980,Neotoma,NL,albigula,243
1981,Neotoma,NL,albigula,264
1982,Neotoma,NL,albigula,252
1983,Neotoma,NL,albigula,256
1984,Neotoma,NL,albigula,259
1985,Neotoma,NL,albigula,225
1986,Neotoma,NL,albigula,240
1987,Neotoma,NL,albigula,278
1988,Neotoma,NL,albigula,248
1989,Neotoma,NL,albigula,275
1990,Neotoma,NL,albigula,243
1991,Sigmodon,SF,fulviventer,199
1992,Neotoma,NL,albigula,220
1993,Neotoma,NL,albigula,233
1994,Neotoma,NL,albigula,226
1995,Neotoma,NL,albigula,171
1996,Neotoma,NL,albigula,185
1997,Neotoma,NL,albigula,231
1998,Neotoma,NL,albigula,238
1999,Neotoma,NL,albigula,227
2000,Neotoma,NL,albigula,265
2001,Neotoma,NL,albigula,280
2002,Neotoma,NL,albigula,248
