hakai_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
U10,Kuzkwa_Cr,3,0.36,Porter_Cr,1,0.34,Weaver,4,0.12,Pinchi_Cr,3,0.10,Stellako,3,0.04
U16,Kuzkwa_Cr,3,0.41,Pinchi_Cr,3,0.22,Portage_Cr,4,0.15,Stellako,3,0.14,Tachie,3,0.04
U17,Chilko_south,2,0.32,Kuzkwa_Cr,3,0.24,Chilko,3,0.21,Pinchi_Cr,3,0.10,Tachie,3,0.04
U21,L_Horsefly,3,0.68,Chilko,3,0.24,McKinley,3,0.05,U_Horsefly,3,0.03,Tachie,3,0.00
U25,Chilko,3,1.00,Chilko_south,2,0.00,Little,4,0.00,L_Shuswap,4,0.00,Chilko-North,3,0.00
U31,Chilko,3,0.85,Thompson_N,2,0.06,Eagle_L,4,0.04,Portage_Cr,4,0.02,Seymour,2,0.01
U35,Weaver,4,0.29,Chilko_south,2,0.19,Pinchi_Cr,3,0.12,Kuzkwa_Cr,3,0.11,Thompson_N,2,0.11
U42,Mitchell,3,1.00,Wasko_Cr,3,0.00,,,,,,,,,
U43,L_Horsefly,3,0.44,Thompson_N,2,0.44,Portage_Cr,4,0.07,Little,4,0.02,Chilko,3,0.01
U7,Kuzkwa_Cr,3,0.75,Pinchi_Cr,3,0.20,Tachie,3,0.04,Weaver,4,0.00,Chilko,3,0.00
U133,Birkenhead,3,0.49,Weaver,4,0.29,LakeWashington,5,0.14,Chilko,3,0.03,L_Adams,4,0.01
U134,Porter_Cr,1,0.84,Forfar,1,0.06,Narrows,1,0.04,Bivouac,1,0.03,FiveMile,1,0.01
U135,Kuzkwa_Cr,3,0.72,Pinchi_Cr,3,0.12,Chilko,3,0.06,Tachie,3,0.04,Weaver,4,0.03
U136,Chilko,3,0.68,Chilko_south,2,0.32,Eagle_L,4,0.00,Chilko-North,3,0.00,Portage_Cr,4,0.00
U156,Chilko,3,0.48,Chilko_south,2,0.18,Thompson_N,2,0.13,Little,4,0.10,L_Shuswap,4,0.04
U158,Kuzkwa_Cr,3,0.58,Pinchi_Cr,3,0.22,Stellako,3,0.09,Tachie,3,0.04,Mitchell,3,0.02
U159,Porter_Cr,1,0.31,Kuzkwa_Cr,3,0.29,Pinchi_Cr,3,0.20,Narrows,1,0.05,Forfar,1,0.03
U160,Birkenhead,3,1.00,,,,,,,,,,,,
